标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
法租界08年小区太原邸 南北通精装3房 高区采光好 拎包入住,3室,2厅,165平米,12/29层,太原邸,整租,南北,9/12号线,25000,xuhui安居客
徐汇精装公寓，温馨宽敞，合租室友素质高。,2室,2厅,22平米,2/6层,兴荣苑,合租,朝南,无,1680,xuhui安居客
徐家汇新贵都万体景苑急租，精装全配，随时看房，随时入住,1室,1厅,29平米,6/27层,新贵都万体景苑,整租,东南,1/4/11号线,2570,xuhui安居客
品味灵性生活  低调的奢华与张扬  深度的品质追求,3室,1厅,18平米,19/26层,星秀苑,合租,东南,无,1170,xuhui安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,59平米,13/25层,日晖二村,整租,朝南,4/12号线,3480,xuhui安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,1室,1厅,34平米,17/25层,新贵都万体景苑,整租,东南,1/4/11号线,2570,xuhui安居客
舒乐小区房东自住装修，拎包即可入住，看房方便，真实照片,1室,1厅,39平米,3/6层,舒乐小区,整租,朝南,无,2200,xuhui安居客
漕宝路 徐汇公寓 4室厅2卫 西北,4室,0厅,23平米,13/19层,徐汇公寓,合租,西北,1/3/12号线,3130,xuhui安居客
合租蛋壳公寓 蛋壳公寓直租 押一付一  近地铁站 配套齐全,3室,1厅,20平米,11/30层,永嘉路别墅,合租,东南,1号线,1380,xuhui安居客
田林路 五六七村 周边沃尔玛 六院 近9号线桂林站,1室,1厅,42平米,2/6层,田林五六七村,整租,朝南,9/12号线,3550,xuhui安居客
新鲜出炉的房子，走过路过不要错过，还是热乎的，保证爱不释手！,1室,1厅,46平米,1/6层,长桥三村,整租,朝南,无,2800,xuhui安居客
九亭上海青年城南北通透 好格局 地段 急租,3室,1厅,18平米,20/28层,上海青年城,合租,东南,9号线,1220,songjiang安居客
松江新城天乐好房出租 入住好礼 素质舍友 优惠多多,1室,1厅,32平米,12/26层,西天乐,整租,东南,无,2690,songjiang安居客
绿庭：你没有看错，就等你来看房，近出门口位置，吃喝玩乐便利,3室,2厅,123平米,7/18层,绿庭尚城,整租,南北,9号线,6500,songjiang安居客
新桥精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,17平米,12/27层,晨星东区,合租,东南,无,1060,songjiang安居客
三湘四季，精装白领公寓，全新宜家风格设计，温馨舒适，拎包入住,1室,1厅,38平米,10/14层,三湘四季花城,整租,朝南,9号线,1800,songjiang安居客
泗泾新凯城丹桂苑小区房源 入住好礼 欧式装修 随时带看,3室,1厅,15平米,17/29层,新凯城丹桂苑,整租,东南,9号线,1150,songjiang安居客
9号线 大学城站《保利西子湾》整租1房 精装全配 低市场急售,1室,1厅,60平米,7/18层,保利西子湾,整租,西南,9号线,3500,songjiang安居客
播送一条通知 因您颜值太高，所以蛋壳公寓以价给你出租房屋,3室,1厅,20平米,23/29层,海利苑,合租,东南,无,1770,songjiang安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,19平米,11/26层,九里亭小区,合租,东南,9号线,1000,songjiang安居客
松江大学城星辰园南北通透 好格局 地段 急租,3室,1厅,18平米,20/23层,星辰园(别墅),整租,东南,9号线,1290,songjiang安居客
近地铁站，适合上班精装豪配，随时看房,3室,1厅,47平米,20/33层,象屿名城,整租,朝南,9号线,3440,songjiang安居客
佘山佘北家园瑞兰苑小清新单间，整洁舒适家具齐全，离地铁站很,3室,1厅,18平米,20/24层,佘北家园瑞兰苑,整租,东南,无,1190,songjiang安居客
文景苑精装1房，精装全配，拎包入住，近9号新城地铁站,1室,1厅,65平米,5/10层,文景苑,整租,朝南,9号线,3500,songjiang安居客
九亭上海青年城精装电梯房，高品质服务，家具齐全，随时带看,3室,1厅,18平米,17/31层,上海青年城,合租,东南,9号线,1330,songjiang安居客
佘山佘北家园嘉枫苑精装修 欧洲现代风格 拎包入住,3室,1厅,19平米,21/24层,佘北家园嘉枫苑,整租,东南,无,1180,songjiang安居客
泗泾新凯家园精装修 欧洲现代风格 拎包入住,3室,1厅,19平米,16/27层,茉莉雅苑,整租,东南,无,1970,songjiang安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,3室,1厅,19平米,11/26层,九里亭小区,合租,东南,9号线,1130,songjiang安居客
绿地云天坊，精装复式两房，9号线泗泾站300米，楼下大润发,2室,2厅,100平米,3/14层,绿地云天坊,整租,朝南,9号线,4500,songjiang安居客
九号线佘山地铁站500米 生活设施齐全 拎包即住 看房随时,2室,2厅,88平米,9/14层,新凯城丹桂苑,整租,南北,9号线,2600,songjiang安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,3室,1厅,17平米,18/24层,欣德苑,合租,东南,无,1150,songjiang安居客
精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,18平米,7/25层,陈坊新苑,整租,东南,无,1260,songjiang安居客
天南地北 海角天涯 不管在哪里 蛋壳都是你避风的港湾,1室,1厅,26平米,6/25层,泗泾新苑,整租,东南,9号线,2390,songjiang安居客
佘山世茂纳米魔幻城南北通透 好格局 地段 急租,3室,1厅,18平米,21/23层,世茂纳米魔幻城,整租,东南,无,1050,songjiang安居客
奥园三期：（实拍图片）（两房朝南）（精装全配）拎包入住,2室,2厅,90平米,6/13层,上海奥林匹克花园(北区),整租,朝南,9号线,5000,songjiang安居客
佘山 新凯城银杏苑 3室厅2卫 南,3室,0厅,11平米,8/16层,新凯城银杏苑,合租,朝南,9号线,1590,songjiang安居客
佘山恒大佘山舒适两房 干净整洁 急租 拎包入住,1室,1厅,28平米,25/27层,恒大佘山首府,整租,东南,无,2450,songjiang安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,15平米,11/32层,祥和公寓,合租,东南,9号线,1440,songjiang安居客
品质奥园理想两室，您的居家，期待爱干净的您，诚意出租！,2室,2厅,89平米,5/11层,上海奥林匹克花园(北区),整租,南北,9号线,4500,songjiang安居客
近地铁站，适合上班精装豪配，随时看房,3室,1厅,18平米,14/27层,贝尚湾(别墅),整租,东南,9号线,1830,songjiang安居客
佘山佘北家园紫鹃苑近地铁站小区采光好，南北通透，随时看房,1室,1厅,24平米,20/25层,佘北家园紫鹃苑,整租,东南,无,2310,songjiang安居客
九亭绿庭带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,19平米,19/29层,绿庭尚城,整租,东南,9号线,1660,songjiang安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,1室,1厅,29平米,14/30层,南部阳光翠庭,整租,东南,无,2010,songjiang安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,18平米,10/23层,龙湖新壹城,合租,东南,9号线,1360,songjiang安居客
泗泾新凯家园蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,20平米,16/26层,茉莉雅苑,整租,东南,无,1330,songjiang安居客
近9号线 九亭地铁站+修+电梯高层+周边配套成熟 新装修,3室,2厅,115平米,11/18层,志成花苑知雅汇(公寓),整租,朝南,无,6000,songjiang安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,3室,1厅,16平米,20/23层,虬长路334弄小区,整租,东南,无,1000,songjiang安居客
蛋壳公寓直租 家具齐全 交通便利 押一付一,1室,1厅,24平米,10/22层,润江花苑,整租,东南,9号线,2020,songjiang安居客
精致装修，家电齐全南北通透，采光好急租，拎包入住,3室,1厅,19平米,17/25层,万业梦立方,合租,东南,9号线,1080,songjiang安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,16平米,18/27层,金地褐石苑,合租,东南,9号线,1630,songjiang安居客
松江体育中心 江虹花园 6室厅2卫 南,6室,0厅,34平米,3/3层,江虹花园,合租,朝南,9号线,1460,songjiang安居客
原房东精装3房 家具家电齐全 可办居住证 随时看房,3室,2厅,92平米,13/18层,金地褐石苑,整租,朝南,9号线,5400,songjiang安居客
新凯二期 近9号线佘山站700米 南北通透 精装全配,2室,2厅,78平米,13/14层,新凯家园(二期),整租,南北,9号线,3200,songjiang安居客
9号线钥匙房贝尚湾 品质小区  高端人群集结区,3室,2厅,117平米,11/18层,贝尚湾,整租,南北,9号线,6500,songjiang安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,17平米,23/28层,泾东一村(商品住宅),合租,东南,无,1340,songjiang安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,1室,1厅,21平米,8/30层,维罗纳贵都,整租,东南,无,2070,songjiang安居客
松江老城交通便利 专人打理 房源 安全可靠,3室,1厅,19平米,12/25层,民乐一村,合租,东南,9号线,1990,songjiang安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,1室,1厅,22平米,14/23层,颐亭花园(别墅),整租,东南,无,2150,songjiang安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,3室,1厅,20平米,18/25层,海欣城新世纪家园(别墅),合租,东南,无,1760,songjiang安居客
双气房 朝南户型 采光 好 精装修 家具家电齐全 拎包入住,1室,1厅,29平米,10/24层,锋尚99公馆,整租,东南,无,2600,songjiang安居客
"恒大帝景赫德旁,下一代的成长需要父母的陪伴,适合陪读，急急急",2室,1厅,100平米,17/20层,恒大帝景,整租,南北,无,5000,songjiang安居客
刚刚退出 稀有放盘 可办公 可会所  看房预约 装修不错 急,9室,3厅,960平米,1/3层,绿洲比华利花园,整租,南北,无,20000,songjiang安居客
松江新城红墅1858南北通透 好格局 地段 急租,3室,1厅,16平米,20/23层,红墅1858,合租,东南,无,1170,songjiang安居客
洞泾 庄泾苑 4室厅2卫 南,4室,0厅,20平米,7/9层,庄泾苑,合租,朝南,9号线,1630,songjiang安居客
知雅汇：（空关有钥匙，随时可以看房）电梯高楼层，房东诚意出租,2室,2厅,97平米,14/18层,志成花苑知雅汇(公寓),整租,南北,无,5000,songjiang安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,18平米,14/26层,塘和家园登云苑,合租,东南,无,1520,songjiang安居客
松江大学城龙湖新壹城小区房源 入住好礼 欧式装修 随时带看,1室,1厅,26平米,8/28层,龙湖新壹城,整租,东南,9号线,2370,songjiang安居客
金地 房东自住 精装修3房 照片实拍 拎包入住 可看房,3室,2厅,94平米,16/17层,金地自在城(二期),整租,南北,9号线,4800,songjiang安居客
松江老城茸联苑精装电梯房，高品质服务，家具齐全，随时带看,1室,1厅,26平米,16/27层,茸联苑,整租,东南,无,2340,songjiang安居客
佘山佘山家园精装大标间 舒适温馨的布局 好楼层,3室,1厅,20平米,13/29层,佘山家园,整租,东南,无,1490,songjiang安居客
蛋壳公寓 超享受！全新配置  一人一锁+安全巡查,3室,1厅,16平米,17/24层,茉莉雅苑,整租,东南,无,1080,songjiang安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,3室,1厅,17平米,16/25层,翔和雅苑(三区),整租,东南,无,1630,jiading安居客
马陆樊家住宅二区近地铁站小区采光好，南北通透，随时看房,3室,1厅,20平米,15/31层,樊家住宅二区,合租,东南,无,1070,jiading安居客
菊园新区宝菊清水园好房出租 干净卫生 双周保洁 速速来电,3室,1厅,19平米,23/27层,宝菊清水园,合租,东南,11号线,1030,jiading安居客
合合美美 合景叠翠峰 民用水电 配套齐全 婚房出租 南北通透,3室,2厅,92平米,9/18层,合景叠翠峰(一期),整租,朝南,11号线,3500,jiading安居客
南翔南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,53平米,21/24层,金地格林春晓,整租,朝南,11号线,3010,jiading安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,18平米,16/21层,育绿小区,整租,东南,无,1580,jiading安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,1室,1厅,29平米,12/26层,远香舫嘉苑,整租,东南,无,2120,jiading安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,18平米,18/31层,真新新村嘉秀坊,整租,东南,无,1890,jiading安居客
华润置地 五彩城旁 全南两房 精装全配 中央空调加地暖,2室,2厅,84平米,12/21层,华润中央公园(二期),整租,朝南,无,6000,jiading安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,1室,1厅,31平米,10/24层,红梅小区,整租,东南,11号线,2030,jiading安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,1室,1厅,27平米,7/28层,黄渡镇联西村,整租,东南,无,2020,jiading安居客
江桥精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,16平米,11/26层,大宅风范城,合租,东南,13号线,1230,jiading安居客
付一押一+免中介+临近13号线丰庄站100米+朝南带飘窗,4室,1厅,16平米,6/18层,金沙丽晶苑(二期),合租,朝南,13号线,2400,jiading安居客
近南翔地铁 精装复式两房 别样雅致的装修风格 您一定会喜欢的,1室,1厅,69平米,4/22层,新城公馆,整租,南北,11号线,3300,jiading安居客
封浜翔黄雅苑近地铁站小区采光好，南北通透，随时看房,1室,1厅,26平米,22/29层,翔黄雅苑,整租,东南,无,2460,jiading安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,1室,1厅,33平米,19/25层,樊家住宅二区,整租,东南,无,2800,jiading安居客
嘉富小区 近11号线嘉定北 周边配套成熟 随时看房 拎包入住,3室,2厅,120平米,5/6层,嘉富小区,整租,朝南,无,3500,jiading安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,3室,1厅,18平米,16/31层,嘉峰汇财富广场,合租,东南,11号线,1250,jiading安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,1室,1厅,30平米,23/28层,翔瑞新苑(北区),整租,东南,无,2830,jiading安居客
泰宸复兴苑：地铁口靠万达。实拍！28平精装一室户。天然气厨卫,1室,1厅,30平米,2/6层,泰宸复兴苑,合租,朝南,13号线,2550,jiading安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,63平米,25/31层,嘉海雅苑(西区),整租,朝南,无,3850,jiading安居客
盛世景庭，近11号线，温馨舒适，光线充足，你值得拥有,3室,1厅,20平米,8/20层,上海派II,合租,朝南,11号线,731,jiading安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,17平米,11/27层,外冈佳苑(西区),整租,东南,无,1570,jiading安居客
精装全配，生活便利，多房源可供挑选，随时带看,1室,1厅,25平米,5/23层,樊家花苑,整租,东南,无,2420,jiading安居客
紧邻地铁电梯房 对面万达 独立卫生间 非中介,4室,1厅,20平米,5/13层,大宅风范城,合租,朝南,13号线,1900,jiading安居客
丰庄金沙丽晶苑南北通透 好格局 地段 急租,1室,1厅,27平米,17/22层,金沙丽晶苑(二期),整租,东南,13号线,2070,jiading安居客
入住减免2300  颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,30平米,13/28层,丰庄十二街坊,整租,东南,13号线,2050,jiading安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,17平米,20/25层,首创旭辉城(别墅),整租,东南,无,1860,jiading安居客
丰庄嘉宝都市港湾二期交通便利 家电齐全 可整租可合租,3室,1厅,61平米,17/29层,嘉宝都市港湾二期,整租,朝南,13号线,3330,jiading安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,19平米,23/27层,李家科盛公寓,合租,东南,无,1060,jiading安居客
嘉定北首创旭辉城蛋壳公寓 别和好房擦肩而过  找房终结者！,1室,1厅,26平米,15/28层,首创旭辉城(别墅),整租,东南,无,2380,jiading安居客
有中介的公寓？out啦！蛋壳公寓无中介精装主卧随时看房,1室,1厅,34平米,22/31层,水岸金桥苑,整租,东南,13号线,2600,jiading安居客
南翔 白鹤社区 3室厅2卫 南,3室,0厅,23平米,4/13层,白鹤小区,合租,朝南,11号线,1990,jiading安居客
家具家电全齐 拎包即住 低楼层带电梯 新房装修出租,3室,1厅,44平米,18/32层,通用国际,整租,朝南,无,3430,jiading安居客
丰庄轻纺市场后朝南大主卧 有餐厅有厨房 拎包入住 随时看房,1室,1厅,20平米,7/22层,嘉秀新苑,合租,朝南,无,2000,jiading安居客
南翔德华路505号小区精致装修，家电全配，交通便利适合白领,3室,1厅,16平米,15/24层,德华路505号小区,合租,东南,11号线,1070,jiading安居客
江桥万达城市公寓小区房源 入住好礼 欧式装修 随时带看,1室,1厅,25平米,21/27层,万达城市公寓,整租,东南,13号线,2300,jiading安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,20平米,20/26层,育绿小区,整租,东南,无,1700,jiading安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,51平米,14/23层,金沙缘圆宝邸,整租,朝南,13号线,3400,jiading安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,17平米,16/26层,嘉定河东小区,合租,东南,无,1480,jiading安居客
江桥大宅风范城婚房出租 全新全套家具家电 温馨舒适,3室,1厅,63平米,15/27层,大宅风范城,整租,朝南,13号线,3290,jiading安居客
马陆李家科盛公寓小清新单间，整洁舒适家具齐全，离地铁站很近,1室,1厅,31平米,21/25层,李家科盛公寓,整租,东南,无,2750,jiading安居客
楼下就是大商场，小区出门就是地铁口，不选择蛋壳，我怕你后悔哦,3室,1厅,17平米,23/26层,樊家住宅一区,合租,东南,无,1180,jiading安居客
入住减免2300 颜控福利 房源实拍精装主卧 爱干净星人福利,3室,1厅,18平米,20/29层,包桥小区,合租,东南,无,1040,jiading安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,21平米,10/27层,安亭雅苑,整租,东南,11号线,1800,jiading安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,3室,1厅,18平米,22/28层,大名城名郡,合租,东南,11号线,1350,jiading安居客
快来！快来！点进来~蛋壳公寓，但是不低端，给你精致的小屋,3室,1厅,56平米,20/30层,丰庄十二街坊,整租,朝南,13号线,3390,jiading安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,17平米,12/27层,大宅风范城,合租,东南,13号线,1080,jiading安居客
实拍的超高ins小公寓，美美的小仙女就住蛋壳公寓吧，安全暖心,3室,1厅,17平米,20/31层,中冶翔腾城市佳园(一期),合租,东南,11号线,1290,jiading安居客
金运路 金鹤新城中房公寓 3室厅2卫 南,3室,0厅,13平米,4/14层,金鹤新城中房公寓,合租,朝南,13号线,2290,jiading安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,17平米,7/25层,首创旭辉城(别墅),合租,东南,无,1460,jiading安居客
双气房 朝南户型 采光 好 精装修 家具家电齐全 拎包入住,3室,1厅,18平米,1/20层,嘉美坊,整租,东南,无,1830,jiading安居客
马陆樊家花苑交通便利 家电齐全 可整租可合租,3室,1厅,17平米,10/24层,樊家花苑,合租,东南,无,1330,jiading安居客
江桥泰宸沙河茗苑近地铁站，适合上班精装豪配，随时看房,3室,1厅,24平米,19/21层,泰宸沙河茗苑,合租,东南,13号线,1650,jiading安居客
房主诚意出租，干净清爽，配套设施齐全，看房随时,1室,1厅,30平米,10/31层,包桥小区,整租,东南,无,2750,jiading安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,20平米,16/23层,首创旭辉城(别墅),整租,东南,无,1000,jiading安居客
独卫 近嘉定西 地铁口 精装单间公寓 无线宽带 房源充足,3室,1厅,14平米,14/18层,汇丰凯苑,合租,朝南,11号线,1460,jiading安居客
闹中取静 双南户型 小房子也有大风景 经典单身公寓,3室,1厅,17平米,15/32层,合景理想家,合租,东南,11号线,1410,jiading安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,1室,1厅,30平米,22/33层,中冶祥腾城市佳园(二期),整租,东南,11号线,2710,jiading安居客
享受 品质公寓 和谐有序  清新空气自由穿行,1室,1厅,27平米,21/26层,爱德佳苑(一期),整租,东南,13号线,2940,jiading安居客
甘泉宜川宜川二村小清新单间，整洁舒适家具齐全，离地铁站很近,1室,1厅,29平米,21/24层,宜川二村,整租,东南,3/4号线,2860,putuo安居客
近地铁3.4.7号线 铁路新村普陀，正规，拎包入住省钱又省心,2室,1厅,53平米,3/6层,铁路新村,整租,南北,7号线,4900,putuo安居客
高区景观房，价格很实惠！国庆福利房，速到速得！,2室,2厅,100平米,30/33层,德诚大厦,整租,朝南,3/4/7/13号线,10500,putuo安居客
星梅花苑中环百联 红星美凯龙 天地软件园 13号线真北路站,3室,1厅,75平米,3/6层,星梅花苑,整租,朝南,13号线,7000,putuo安居客
精装修边套南北通两房 全新家电 楼层居中 近岚皋路7号线,2室,1厅,56平米,3/6层,石泉六村,整租,南北,7号线,5600,putuo安居客
有卫生间洁癖的你，没关系！选择蛋壳公寓，给你超大空间自由发挥,3室,1厅,20平米,8/22层,金沙雅苑未来街区,合租,东南,13号线,1150,putuo安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,19平米,11/26层,曹杨新苑,合租,东南,11号线,1140,putuo安居客
真光九街坊 紧靠百联 名校金州 毗邻乐购 配套齐全 拎包入住,1室,1厅,50平米,3/6层,真光新村第九小区,整租,朝南,无,3800,putuo安居客
龚家宅 两房一厅 小居室 适合上班合租 交通便利 紧邻中潭路,2室,1厅,45平米,5/6层,交通路1461弄小区,整租,朝南,3/4号线,3600,putuo安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,17平米,11/29层,紫藤苑小区(桃浦十村),合租,东南,11号线,1460,putuo安居客
精装双南两房 宜川一村 拎包入住 交通便利 配套成熟,2室,1厅,57平米,2/6层,宜川一村,整租,朝南,3/4号线,5000,putuo安居客
新出一室一厅 全新装修 没住过人 钥匙在手 看中价格可谈,1室,1厅,42平米,6/6层,延长小区,整租,朝南,无,4000,putuo安居客
大宁路延长小区舒适两房 干净整洁 急租 拎包入住,3室,1厅,30平米,22/31层,延长小区,合租,东南,无,2720,putuo安居客
现代精装修 一梯两户 紧邻7号岚皋站 我亲自拍的照片 随时看,2室,2厅,92平米,1/6层,岚皋馨苑,整租,朝南,7/11号线,6000,putuo安居客
曹杨五星公寓南北通透 好格局 地段 急租,1室,1厅,31平米,14/22层,五星公寓,整租,东南,3/4/11/13号线,2300,putuo安居客
芝巷小区 近地铁13号线300米 新城控股 随时看房 拎包住,2室,1厅,63平米,3/6层,芝巷小区,整租,朝南,13号线,4500,putuo安居客
梅川一街坊 新出精装二房一厅 带阳光大天井 动静分离 随时看,2室,1厅,70平米,1/6层,梅川一街坊,整租,朝南,13号线,5500,putuo安居客
一套我想自己租下的房子 要看实图找我 物超所值,3室,1厅,110平米,7/7层,真如西村,整租,南北,11号线,6000,putuo安居客
石榴苑环境优美，精致装修，近地铁站，随时看房,3室,1厅,24平米,18/31层,石榴苑,合租,东南,11号线,1910,putuo安居客
婚房出租 全新全套家具家电 温馨舒适,3室,1厅,16平米,20/21层,曹杨君悦苑,合租,东南,3/4/11/13号线,1000,putuo安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,1室,1厅,31平米,21/25层,黎金苑,整租,东南,无,2510,putuo安居客
近地铁 婚房精装两房 干净整洁 全装全配 拎包入住 钥匙房,2室,1厅,63平米,3/6层,长风二村风荷苑,整租,南北,13号线,5500,putuo安居客
白领公寓整租一室户  全新全配 卫浴独立  可做饭。,1室,1厅,30平米,3/8层,澳门公寓,整租,南北,3/4/7/13号线,3280,putuo安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,19平米,12/29层,曹杨君悦苑,合租,东南,3/4/11/13号线,1050,putuo安居客
五房两厅两卫 豪华装修 居家全配 可长租 房东人好，房子较多,5室,2厅,230平米,6/6层,明丰世纪苑,整租,朝南,11号线,13800,putuo安居客
桃浦永汇新苑南北通透 好格局 地段 急租,3室,1厅,16平米,7/26层,永汇新苑,合租,东南,11号线,1470,putuo安居客
居家好房，精装全配一室一厅，可拎包入住，周围配套齐全！,1室,1厅,40平米,4/6层,南杨园,整租,朝南,3/4/13号线,3000,putuo安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,19平米,14/27层,曹杨君悦苑,合租,东南,3/4/11/13号线,1310,putuo安居客
楼层佳，采光无遮挡，近地铁347号线镇坪路，随时看房，价可谈,1室,1厅,48平米,3/6层,光复西路145弄小区,整租,朝南,3/4/7号线,4200,putuo安居客
真如西村 精装家电齐全拎包即住 近地铁11号真如站 有钥匙,2室,1厅,65平米,4/6层,真如西村,整租,朝南,11号线,4800,putuo安居客
"全明户型阳光无遮挡,房间布局紧凑,整体装修保养不错,装修",2室,2厅,108平米,16/18层,金沙雅苑未来街区,整租,南北,13号线,7000,putuo安居客
近347号线地铁 精装家电全配 南北通风采光好 诚可办居住证,2室,1厅,68平米,3/6层,石泉六村,整租,朝南,7号线,5000,putuo安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,20平米,9/27层,曹杨君悦苑,合租,东南,3/4/11/13号线,1280,putuo安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,17平米,13/27层,阳光威尼斯三期,合租,东南,无,1110,putuo安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,18平米,17/25层,曹杨一村,整租,东南,3/4/11/13号线,1240,putuo安居客
阳光自在空间  宽敞自我天地  妆点雅致生活。,2室,1厅,32平米,16/25层,和平新村,整租,东南,3/4/7号线,3490,putuo安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,1室,1厅,24平米,18/28层,中环花苑,整租,东南,7/11号线,2290,putuo安居客
近地铁3/4/7号线 精装全配 交通便利 随时看房 拎包入住,1室,1厅,79平米,21/32层,泰欣嘉园,整租,朝南,3/4/7号线,6000,putuo安居客
上海西站 真华路157弄小区 4室厅2卫 南,4室,0厅,20平米,7/13层,真华路157弄小区,合租,朝南,11号线,2690,putuo安居客
"首租近地铁11，13号线隆德站,拎包入住,精装修,看房随时！",3室,1厅,28平米,3/18层,世纪同乐,合租,朝南,3/4/11/13号线,2450,putuo安居客
政立路大一居2800精装修，近地铁近国正，可以办理居住证,1室,1厅,25平米,2/6层,政立路830弄小区,整租,朝南,3号线,2800,yangpu安居客
杨浦大桥长欣新苑租得省心 家具 押一付一 安全可靠,3室,1厅,15平米,7/22层,长欣新苑,合租,东南,12号线,1170,yangpu安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,21平米,20/30层,定海路449弄小区,合租,东南,12号线,1820,yangpu安居客
上班累很辛苦？回我们的家，蛋壳公寓给你不一样的爱,3室,1厅,19平米,18/30层,星云苑,合租,东南,8号线,1080,yangpu安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,18平米,13/28层,同济新村,合租,东南,10号线,1230,yangpu安居客
佳龙花园 地铁口大两房，房东新挂牌，精装修全配，高区景观,2室,2厅,100平米,9/18层,佳龙花园,整租,南北,8号线,7500,yangpu安居客
家具家电全齐 拎包即住 低楼层带电梯 新房装修出租,1室,1厅,25平米,5/26层,国顺住宅小区,整租,东南,10号线,2010,yangpu安居客
民京路837弄急租，近地铁站，适合上班族精装全配，长租更优,1室,1厅,27平米,23/28层,民京路837弄小区,整租,东南,8号线,2090,yangpu安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,1室,1厅,28平米,24/30层,书香公寓,整租,东南,8/10号线,2100,yangpu安居客
实拍的超高ins的小公寓，美美的小仙女就住蛋壳公寓吧,1室,1厅,31平米,19/26层,公交新村,整租,东南,8/10号线,2760,yangpu安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,1室,1厅,28平米,21/31层,益民小区,整租,东南,12号线,2590,yangpu安居客
新出：有钥匙小3房，版式户型，精装修，一梯2户，随时可看！,3室,2厅,126平米,8/17层,现代星洲城(一期),整租,朝南,8/12号线,8500,yangpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,23平米,24/25层,鞍山八村,整租,东南,10号线,2250,yangpu安居客
